name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,description_formated,source,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,deity,SLA_Level,domain,short_description,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,linktext,id,material_costs,bloodline,patron,mythic_text,augmented,mythic
Feeblemind,enchantment,compulsion,mind-affecting,"sorcerer/wizard 5, witch 5",1 standard action,"V, S, M (a handful of clay, crystal, or glass spheres)",0,medium (100 ft. + 10 ft./level),,,one creature,instantaneous,0,0,Will negates; see text,yes,"Target creature's Intelligence and Charisma scores each drop to 1. The affected creature is unable to use Intelligence- or Charismabased skills, cast spells, understand language, or communicate coherently. Still, it knows who its friends are and can follow them and even protect them. The subject remains in this state until a heal, limited wish, miracle, or wish spell is used to cancel the of the feeblemind. A creature that can cast arcane spells, such as a sorcerer or a wizard, takes a -4 penalty on its saving throw.","<p>Target creature's Intelligence and Charisma scores each drop to 1. The affected creature is unable to use Intelligence- or Charismabased skills, cast spells, understand language, or communicate coherently. Still, it knows who its friends are and can follow them and even protect them. The subject remains in this state until a heal, limited <i>wish</i>, miracle, or <i>wish</i> spell is used to cancel the of the <i>feeblemind.</i> A creature that can cast arcane spells, such as a sorcerer or a wizard, takes a -4 penalty on its saving throw.</p>",PFRPG Core,1,1,1,0,0,5,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,,5,,Subject's Int and Cha drop to 1.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Feeblemind,199,NULL,"Aberrant, Accursed",,,,0
Find the Path,divination,,,"bard 6, cleric 6/oracle 6, druid 6, witch 6, inquisitor 6",3 rounds,"V, S, F (a set of divination counters)",0,personal or touch,,,you or creature touched,10 min./level,0,0,none or Will negates (harmless),no or yes (harmless),"The recipient of this spell can find the shortest, most direct physical route to a prominent specified destination, such as a city, keep, lake, or dungeon. The locale can be outdoors or underground, as long as it is prominent. For example, a hunter's cabin is not prominent enough, but a logging camp is. Find the path works with respect to locations, not objects or creatures at a locale. The location must be on the same plane as the subject at the time of casting. The spell enables the subject to sense the correct direction that will eventually lead it to its destination, indicating at appropriate times the exact path to follow or physical actions to take. For example, the spell enables the subject to sense what cavern corridor to take when a choice presents itself. The spell ends when the destination is reached or the duration expires, whichever comes first. Find the path can be used to remove the subject and its companions from the effect of a maze spell in a single round, specifying the destination as ""outside the maze."" This divination is keyed to the recipient, not its companions, and its effect does not predict or allow for the actions of creatures (including guardians) who might take action to oppose the caster as he follows the path revealed by this spell.","<p>The recipient of this spell can find the shortest, most direct physical route to a prominent specified destination, such as a city, keep, lake, or dungeon. The locale can be outdoors or underground, as long as it is prominent. For example, a hunter's cabin is not prominent enough, but a logging camp is. <i>Find the path</i> works with respect to locations, not objects or creatures at a locale. The location must be on the same plane as the subject at the time of casting. The spell enables the subject to sense the correct direction that will eventually lead it to its destination, indicating at appropriate times the exact path to follow or physical actions to take. For example, the spell enables the subject to sense what cavern corridor to take when a choice presents itself. The spell ends when the destination is reached or the duration expires, whichever comes first. <i>Find the path</i> can be used to remove the subject and its companions from the effect of a <i>maze</i> spell in a single round, specifying the destination as ""outside the <i>maze</i>."" This divination is keyed to the recipient, not its companions, and its effect does not predict or allow for the actions of creatures (including guardians) who might take action to oppose the caster as he follows the path revealed by this spell.</p>",PFRPG Core,1,1,0,1,0,NULL,NULL,6,6,NULL,6,NULL,NULL,NULL,6,6,6,NULL,NULL,,6,"Knowledge, Travel",Shows most direct way to a location.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Find the Path,200,NULL,,,,,0
Find Traps,divination,,,"cleric 2/oracle 2, witch 2, inquisitor 2",1 standard action,"V, S",0,personal,,,you,1 min./level,0,0,,,"You gain intuitive insight into the workings of traps. You gain an insight bonus equal to 1/2 your caster level (maximum +10) on Perception checks made to find traps while the spell is in effect. You receive a check to notice traps within 10 feet of you, even if you are not actively searching for them. Note that find traps grants no ability to disable the traps that you may find.","<p>You gain intuitive insight into the workings of traps. You gain an insight bonus equal to 1/2 your caster level (maximum +10) on Perception checks made to <i>find traps</i> while the spell is in effect. You receive a check to notice traps within 10 feet of you, even if you are not actively searching for them. Note that <i>find traps</i> grants no ability to disable the traps that you may find.</p>",PFRPG Core,1,1,0,0,0,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,2,2,2,NULL,NULL,,2,,Notice traps as a rogue does.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Find Traps,201,NULL,,,,,0
Finger Of Death,necromancy,,death,"druid 8, sorcerer/wizard 7",1 standard action,"V, S",0,close (25 ft. + 5 ft./2 levels),,,one creature,instantaneous,0,0,Fortitude partial,yes,"This spell instantly delivers 10 points of damage per caster level. If the target's Fortitude saving throw succeeds, it instead takes 3d6 points of damage + 1 point per caster level. The subject might die from damage even if it succeeds on its saving throw.","<p>This spell instantly delivers 10 points of damage per caster level. If the target's Fortitude saving throw succeeds, it instead takes 3d6 points of damage + 1 point per caster level. The subject might die from damage even if it succeeds on its saving throw.</p>",PFRPG Core,1,1,0,0,0,7,7,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,7,,Deals 10 damage/level to one subject.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finger of Death,202,NULL,Undead,Death,"The damage dealt increases to 15 points of damage per caster level plus 1d8 points of Constitution damage. A creature that succeeds at its saving throw takes 3d8 points of damage + 1 point per caster level, takes 1d4 points of Constitution damage, and is staggered for 1 round.",,1
Fire Shield,evocation,,fire or cold,"sorcerer/wizard 4, alchemist 4, summoner 3, magus 4",1 standard action,"V, S, M (phosphorus for the warm shield; a firefly or glowworm for the chill shield)",0,personal,,,you,1 round/level (D),1,0,,,"This spell wreathes you in flame and causes damage to each creature that attacks you in melee. The flames also protect you from either cold-based or fire-based attacks, depending on if you choose cool or warm flames for your fire shield. Any creature striking you with its body or a handheld weapon deals normal damage, but at the same time the attacker takes 1d6 points of damage + 1 point per caster level (maximum +15). This damage is either cold damage (if you choose a chill shield) or fire damage (if you choose a warm shield). If the attacker has spell resistance, it applies to this effect. Creatures wielding melee weapons with reach are not subject to this damage if they attack you. When casting this spell, you appear to immolate yourself, but the flames are thin and wispy, increasing the light level within 10 feet by one step, up to normal light. The color of the flames is blue or green if the chill shield is cast, violet or red if the warm shield is employed. The special powers of each version are as follows. Chill Shield: The flames are cool to the touch. You take only half damage from fire-based attacks. If such an attack allows a Reflex save for half damage, you take no damage on a successful saving throw. Warm Shield: The flames are warm to the touch. You take only half damage from cold-based attacks. If such an attack allows a Reflex save for half damage, you take no damage on a successful saving throw.","<p>This spell wreathes you in flame and causes damage to each creature that attacks you in melee. The flames also protect you from either cold-based or fire-based attacks, depending on if you choose cool or <i>warm</i> flames for your <i>fire shield</i>.</p><p>Any creature striking you with its body or a handheld weapon deals normal damage, but at the same time the attacker takes 1d6 points of damage + 1 point per caster level (maximum +15).</p><p>This damage is either cold damage (if you choose a <i><i>chill</i> shield)</i> or fire damage (if you choose a <i><i>warm</i> shield</i>). If the attacker has spell resistance, it applies to this effect. Creatures wielding melee weapons with reach are not subject to this damage if they attack you.</p><p>When casting this spell, you appear to immolate yourself, but the flames are thin and wispy, increasing the light level within 10 feet by one step, up to normal light. The color of the flames is blue or green if the <i>chill</i> shield is cast, violet or red if the <i><i>warm</i> shield</i> is employed. The special powers of each version are as follows.</p><p><i>Chill Shield</i>: The flames are cool to the touch. You take only half damage from fire-based attacks. If such an attack allows a Reflex save for half damage, you take no damage on a successful saving throw.</p><p><i>Warm Shield</i>: The flames are <i>warm</i> to the touch. You take only half damage from cold-based attacks. If such an attack allows a Reflex save for half damage, you take no damage on a successful saving throw.</p>",PFRPG Core,1,1,1,0,0,4,4,NULL,NULL,NULL,NULL,NULL,4,3,NULL,NULL,NULL,NULL,4,,4,"Fire, Sun",Creatures attacking you take fire damage; you're protected from heat or cold.,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fire Shield,203,NULL,,,The damage dealt to your attackers increases to 1d8 points of damage + 1 point per caster level (maximum +15). A chill shield gives you fire immunity. A warm shield gives you cold immunity.,,1
Fire Seeds,conjuration,creation,fire,druid 6,1 standard action,"V, S, M (acorns or holly berries)",0,touch,,,up to four acorns or up to eight holly berries,10 min./level or until used,0,0,none or Reflex half; see text,no,"Depending on the version of fire seeds you choose, you turn acorns into splash weapons that you or another character can throw, or you turn holly berries into bombs that you can detonate on command. Acorn Grenades: As many as four acorns turn into special thrown splash weapons. An acorn grenade has a range increment of 20 feet. A ranged touch attack roll is required to strike the intended target. Together, the acorns are capable of dealing 1d4 points of fire damage per caster level (maximum 20d4) divided among the acorns as you wish. No acorn can deal more than 10d4 points of damage. Each acorn grenade explodes upon striking any hard surface. In addition to its regular fire damage, all creatures adjacent to the explosion take 1 point of fire damage per die of the explosion. This explosion of fire ignites any combustible materials adjacent to the target. Holly Berry Bombs: You turn as many as eight holly berries into special bombs. The holly berries are usually placed by hand, since they are too light to make effective thrown weapons (they can be tossed only 5 feet). If you are within 200 feet and speak a word of command, each berry instantly bursts into flame, causing 1d8 points of fire damage + 1 point per caster level to every creature in a 5-foot-radius burst and igniting any combustible materials within 5 feet. A creature in the area that makes a successful Reflex saving throw takes only half damage.","<p>Depending on the version of <i>fire seeds</i> you choose, you turn acorns into splash weapons that you or another character can throw, or you turn holly berries into bombs that you can detonate on command.</p><p><i>Acorn Grenades</i>: As many as four acorns turn into special thrown splash weapons. An acorn grenade has a range increment of 20 feet. A ranged touch attack roll is required to strike the intended target. Together, the acorns are capable of dealing 1d4 points of fire damage per caster level (maximum 20d4) divided among the acorns as you wish. No acorn can deal more than 10d4 points of damage.</p><p>Each acorn grenade explodes upon striking any hard surface.</p><p>In addition to its regular fire damage, all creatures adjacent to the explosion take 1 point of fire damage per die of the explosion.</p><p>This explosion of fire ignites any combustible materials adjacent to the target.</p><p><i>Holly Berry Bombs</i>: You turn as many as eight holly berries into special bombs. The holly berries are usually placed by hand, since they are too light to make effective thrown weapons (they can be tossed only 5 feet). If you are within 200 feet and speak a word of command, each berry instantly bursts into flame, causing 1d8 points of fire damage + 1 point per caster level to every creature in a 5-foot-radius burst and igniting any combustible materials within 5 feet. A creature in the area that makes a successful Reflex saving throw takes only half damage.</p>",PFRPG Core,1,1,1,0,0,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,6,"Fire, Sun",Acorns and berries become grenades and bombs.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fire Seeds,204,NULL,,,"Each acorn's damage increases to 1d6 points of fire damage per caster level (maximum 20d6 for all acorns, no more than 10d6 for any particular acorn). Each holly berry's damage increases to 2d6 points of fire damage + 2 points per caster level. Any creature that fails its Reflex save against an acorn or holly berry catches on fire (Core Rulebook 444), taking 2d6 points of fire damage each round until the fire is extinguished. Attempts to extinguish this fire use the spell's save DC.",,1
Fire Storm,evocation,,fire,"cleric/oracle 8, druid 7",1 standard action,"V, S",0,medium (100 ft. + 10 ft./level),two 10-ft. cubes per level (S),,,instantaneous,0,1,Reflex half,yes,"When a fire storm spell is cast, the whole area is shot through with sheets of roaring flame. The raging flames do not harm natural vegetation, ground cover, or any plant creatures in the area that you wish to exclude from damage. Any other creature within the area takes 1d6 points of fire damage per caster level (maximum 20d6). Creatures that fail their Reflex save catch on fire, taking 4d6 points of fire damage each round until the flames are extinguished. Extinguishing the flames is a full-round action that requires a DC 20 Reflex save.","<p>When a <i>fire storm</i> spell is cast, the whole area is shot through with sheets of roaring flame. The raging flames do not harm natural vegetation, ground cover, or any plant creatures in the area that you wish to exclude from damage. Any other creature within the area takes 1d6 points of fire damage per caster level (maximum 20d6). Creatures that fail their Reflex save catch on fire, taking 4d6 points of fire damage each round until the flames are extinguished. Extinguishing the flames is a full-round action that requires a DC 20 Reflex save.</p>",PFRPG Core,1,1,0,0,0,NULL,NULL,8,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,,8,,Deals 1d6/level fire damage.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fire Storm,205,NULL,,Elements,"The damage dealt increases to 1d8 points of damage per caster level (maximum 20d8). Half of this damage is fire damage, and the other half is divine energy that bypasses fire resistance and fire immunity. You can exclude any number of animals from damage just as you can plant creatures.","Augmented (8th): If you expend two uses of mythic power, choose one creature type (and subtype, if humanoid or outsider) to exclude from the effects of the spell. For each additional use of mythic power you expend when casting the spell, exclude another creature type. For example, if you expend two uses of mythic power and choose magical beasts, you can exclude from damage any number of magical beasts in the spell's area.",1
Fire Trap,abjuration,,fire,"druid 2, sorcerer/wizard 4",10 minutes,"V, S, M (gold dust worth 25 gp)",1,touch,,,object touched,permanent until discharged (D),1,0,Reflex half; see text,yes,"Fire trap creates a fiery explosion when an intruder opens the item that the trap protects. A fire trap spell can ward any object that can be opened and closed. When casting fire trap, you select a point on the object as the spell's center. When someone other than you opens the object, a fiery explosion fills the area within a 5-foot radius around the spell's center. The flames deal 1d4 points of fire damage + 1 point per caster level (maximum +20). The item protected by the trap is not harmed by this explosion. A fire-trapped item cannot have a second closure or warding spell placed on it. A knock spell does not bypass a fire trap. An unsuccessful dispel magic spell does not detonate the spell. Underwater, this ward deals half damage and creates a large cloud of steam. You can use the fire-trapped object without discharging it, as can any individual to whom the object was specifically attuned when cast. Attuning a fire-trapped object to an individual usually involves setting a password that you can share with friends. Magic traps such as fire trap are hard to detect and disable. A character with trapfinding can use the Perception skill to find a fire trap and Disable Device to thwart it. The DC in each case is 25 + spell level (DC 27 for a druid's fire trap or DC 29 for the arcane version).","<p><i>Fire trap</i> creates a fiery explosion when an intruder opens the item that the trap protects. A <i>fire trap</i> spell can ward any object that can be opened and closed.</p><p>When casting <i>fire trap</i>, you select a point on the object as the spell's center. When someone other than you opens the object, a fiery explosion fills the area within a 5-foot radius around the spell's center. The flames deal 1d4 points of fire damage + 1 point per caster level (maximum +20). The item protected by the trap is not harmed by this explosion.</p><p>A fire-trapped item cannot have a second closure or warding spell placed on it. A <i>knock</i> spell does not bypass a <i>fire trap</i>. An unsuccessful <i>dispel magic</i> spell does not detonate the spell.</p><p>Underwater, this ward deals half damage and creates a large cloud of steam.</p><p>You can use the fire-trapped object without discharging it, as can any individual to whom the object was specifically attuned when cast. Attuning a fire-trapped object to an individual usually involves setting a password that you can share with friends.</p><p>Magic traps such as <i>fire trap</i> are hard to detect and disable. A character with trapfinding can use the Perception skill to find a <i>fire trap</i> and Disable Device to thwart it. The DC in each case is 25 + spell level (DC 27 for a druid's <i>fire trap</i> or DC 29 for the arcane version).</p>",PFRPG Core,1,1,1,0,0,4,4,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,4,,Opened object deals 1d4 + 1/level damage.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fire Trap,206,25,,,,,0
Fireball,evocation,,fire,"sorcerer/wizard 3, magus 3",1 standard action,"V, S, M (a ball of bat guano and sulfur)",0,long (400 ft. + 40 ft./level),20-ft.-radius spread,,,instantaneous,0,0,Reflex half,yes,"A fireball spell generates a searing explosion of flame that detonates with a low roar and deals 1d6 points of fire damage per caster level (maximum 10d6) to every creature within the area. Unattended objects also take this damage. The explosion creates almost no pressure. You point your finger and determine the range (distance and height) at which the fireball is to burst. A glowing, pea-sized bead streaks from the pointing digit and, unless it impacts upon a material body or solid barrier prior to attaining the prescribed range, blossoms into the fireball at that point. An early impact results in an early detonation. If you attempt to send the bead through a narrow passage, such as through an arrow slit, you must ""hit"" the opening with a ranged touch attack, or else the bead strikes the barrier and detonates prematurely. The fireball sets fire to combustibles and damages objects in the area. It can melt metals with low melting points, such as lead, gold, copper, silver, and bronze. If the damage caused to an interposing barrier shatters or breaks through it, the fireball may continue beyond the barrier if the area permits; otherwise it stops at the barrier just as any other spell effect does.","<p>A <i>fireball</i> spell generates a searing explosion of flame that detonates with a low roar and deals 1d6 points of fire damage per caster level (maximum 10d6) to every creature within the area.</p><p>Unattended objects also take this damage. The explosion creates almost no pressure.</p><p>You point your finger and determine the range (distance and height) at which the <i>fireball</i> is to burst. A glowing, pea-sized bead streaks from the pointing digit and, unless it impacts upon a material body or solid barrier prior to attaining the prescribed range, blossoms into the <i>fireball</i> at that point. An early impact results in an early detonation. If you attempt to send the bead through a narrow passage, such as through an arrow slit, you must ""hit"" the opening with a ranged touch attack, or else the bead strikes the barrier and detonates prematurely.</p><p>The <i>fireball</i> sets fire to combustibles and damages objects in the area. It can melt metals with low melting points, such as lead, gold, copper, silver, and bronze. If the damage caused to an interposing barrier shatters or breaks through it, the <i>fireball</i> may continue beyond the barrier if the area permits; otherwise it stops at the barrier just as any other spell effect does.</p>",PFRPG Core,1,1,1,0,0,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,,3,Fire,"1d6 damage per level, 20-ft. radius.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fireball,207,NULL,Efreeti,Elements,"The damage dealt increases to 1d10 points of fire damage per caster level (maximum 10d10). Any creature that fails its Reflex saving throw catches on fire (Core Rulebook 444), taking 2d6 points of fire damage each round until the fire is extinguished. Attempts to extinguish this fire use the spell's save DC.","Augmented (6th): If you expend two uses of mythic power, the maximum damage increases to 20d10, the area increases to a 40-foot radius spread, and any fire damage dealt by the spell bypasses fire resistance and fire immunity.",1
Flame Arrow,transmutation,,fire,"sorcerer/wizard 3, magus 3",1 standard action,"V, S, M (a drop of oil and a small piece of flint)",0,close (25 ft. + 5 ft./2 levels),,,"fifty projectiles, all of which must be together at the time of casting",10 min./level,0,0,none,no,"This spell allows you to turn ammunition (such as arrows, crossbow bolts, shuriken, and sling stones) into fiery projectiles. Each piece of ammunition deals an extra 1d6 points of fire damage to any target it hits. A flaming projectile can easily ignite a flammable object or structure, but it won't ignite a creature it strikes.","<p>This spell allows you to turn ammunition (such as arrows, crossbow bolts, shuriken, and sling stones) into fiery projectiles. Each piece of ammunition deals an extra 1d6 points of fire damage to any target it hits. A flaming projectile can easily ignite a flammable object or structure, but it won't ignite a creature it strikes.</p>",PFRPG Core,1,1,1,0,0,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,,3,,Arrows deal +1d6 fire damage.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Flame Arrow,208,NULL,,,,,0
Flame Blade,evocation,,fire,druid 2,1 standard action,"V, S, DF",0,0 ft.,,sword-like beam,,1 min./level (D),1,0,none,yes,"A 3-foot-long, blazing beam of red-hot fire springs forth from your hand. You wield this blade-like beam as if it were a scimitar. Attacks with the flame blade are melee touch attacks. The blade deals 1d8 points of fire damage + 1 point per two caster levels (maximum +10). Since the blade is immaterial, your Strength modifier does not apply to the damage. A flame blade can ignite combustible materials such as parchment, straw, dry sticks, and cloth.","<p>A 3-foot-long, blazing beam of red-hot fire springs forth from your hand. You wield this blade-like beam as if it were a scimitar. Attacks with the <i>flame blade</i> are melee touch attacks.</p><p>The blade deals 1d8 points of fire damage + 1 point per two caster levels (maximum +10). Since the blade is immaterial, your Strength modifier does not apply to the damage. A <i>flame blade</i> can ignite combustible materials such as parchment, straw, dry sticks, and cloth.</p>",PFRPG Core,1,1,0,0,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,2,,Touch attack deals 1d8 + 1/two levels damage.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Flame Blade,209,NULL,,,The blade's damage increases to 2d6 points of fire damage + 1 point per caster level (maximum +20). The blade threatens a critical hit on a natural 18-20 as if it were an actual scimitar.,"Augmented (3rd): If you expend two uses of mythic power, the blade threatens a critical hit on a natural 15-20, and bypasses hardness, fire resistance, and fire immunity.",1
Flame Strike,evocation,,fire,"cleric/oracle 5, druid 4, inquisitor 5",1 standard action,"V, S, DF",0,medium (100 ft. + 10 ft./level),"cylinder (10-ft. radius, 40-ft. high)",,,instantaneous,0,0,Reflex half,yes,"A flame strike evokes a vertical column of divine fire. The spell deals 1d6 points of damage per caster level (maximum 15d6). Half the damage is fire damage, but the other half results directly from divine power and is therefore not subject to being reduced by resistance to fire-based attacks.","<p>A <i>flame strike</i> evokes a vertical column of divine fire. The spell deals 1d6 points of damage per caster level (maximum 15d6). Half the damage is fire damage, but the other half results directly from divine power and is therefore not subject to being reduced by resistance to fire-based attacks.</p>",PFRPG Core,1,1,0,0,1,NULL,NULL,5,4,NULL,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,,5,"Sun, War",Smites foes with divine fire (1d6/level damage).,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Flame Strike,210,NULL,Celestial,"Devotion, Elements","The damage dealt increases to 1d8 per caster level (maximum 15d8). The area increases to a 20-foot-radius, 40-foot-high cylinder. You may have the divine half of the damage affect only one specific creature type (as the bane weapon quality).",,1
Flaming Sphere,evocation,,fire,"druid 2, sorcerer/wizard 2, magus 2",1 standard action,"V, S, M/DF (tallow, brimstone, and powdered iron)",0,medium (100 ft. + 10 ft./level),,5-ft.-diameter sphere,,1 round/level,0,0,Reflex negates,yes,"A burning globe of fire rolls in whichever direction you point and burns those it strikes. It moves 30 feet per round. As part of this movement, it can ascend or jump up to 30 feet to strike a target. If it enters a space with a creature, it stops moving for the round and deals 3d6 points of fire damage to that creature, though a successful Reflex save negates that damage. A flaming sphere rolls over barriers less than 4 feet tall. It ignites flammable substances it touches and illuminates the same area as a torch would. The sphere moves as long as you actively direct it (a move action for you); otherwise, it merely stays at rest and burns. It can be extinguished by any means that would put out a normal fire of its size. The surface of the sphere has a spongy, yielding consistency and so does not cause damage except by its flame. It cannot push aside unwilling creatures or batter down large obstacles. A flaming sphere winks out if it exceeds the spell's range.","<p>A burning globe of fire rolls in whichever direction you point and burns those it strikes. It moves 30 feet per round. As part of this movement, it can ascend or jump up to 30 feet to strike a target. If it enters a space with a creature, it stops moving for the round and deals 3d6 points of fire damage to that creature, though a successful Reflex save negates that damage. A <i>flaming sphere</i> rolls over barriers less than 4 feet tall. It ignites flammable substances it touches and illuminates the same area as a torch would.</p><p>The sphere moves as long as you actively direct it (a move action for you); otherwise, it merely stays at rest and burns. It can be extinguished by any means that would put out a normal fire of its size. The surface of the sphere has a spongy, yielding consistency and so does not cause damage except by its flame. It cannot push aside unwilling creatures or batter down large obstacles. A <i>flaming sphere</i> winks out if it exceeds the spell's range.</p>",PFRPG Core,1,1,1,0,1,2,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,,2,,Rolling ball of fire deals 3d6 fire damage.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Flaming Sphere,211,NULL,,Elements,,,0
Flare,evocation,,light,"bard 0, druid 0, sorcerer/wizard 0, magus 0",1 standard action,V,0,close (25 ft. + 5 ft./2 levels),,burst of light,,instantaneous,0,0,Fortitude negates,yes,"This cantrip creates a burst of light. If you cause the light to burst in front of a single creature, that creature is dazzled for 1 minute unless it makes a successful Fortitude save. Sightless creatures, as well as creatures already dazzled, are not affected by flare.","<p>This cantrip creates a burst of light. If you cause the light to burst in front of a single creature, that creature is dazzled for 1 minute unless it makes a successful Fortitude save. Sightless creatures, as well as creatures already dazzled, are not affected by flare.</p>",PFRPG Core,1,0,0,0,0,0,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,,Dazzles one creature (–1 on attack rolls).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Flare,212,NULL,,,,,0
Flesh to Stone,transmutation,,,"sorcerer/wizard 6, witch 6, magus 6",1 standard action,"V, S, M (lime, water, and earth)",0,medium (100 ft. + 10 ft./level),,,one creature,instantaneous,0,0,Fortitude negates,yes,"The subject, along with all its carried gear, turns into a mindless, inert statue. If the statue resulting from this spell is broken or damaged, the subject (if ever returned to its original state) has similar damage or deformities. The creature is not dead, but it does not seem to be alive either when viewed with spells such as deathwatch. Only creatures made of flesh are affected by this spell.","<p>The subject, along with all its carried gear, turns into a mindless, inert statue. If the statue resulting from this spell is broken or damaged, the subject (if ever returned to its original state) has similar damage or deformities. The creature is not dead, but it does not seem to be alive either when viewed with spells such as <i>deathwatch.</i></p><p>Only creatures made of flesh are affected by this spell.</p>",PFRPG Core,1,1,1,0,0,6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,6,,6,,Turns subject creature into statue.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flesh to Stone,213,NULL,,,,,0
Floating Disk,evocation,,force,"sorcerer/wizard 1, magus 1",1 standard action,"V, S, M (a drop of mercury)",0,close (25 ft. + 5 ft./2 levels),,3-ft.-diameter disk of force,,1 hour/level,0,0,none,no,"You create a slightly concave, circular plane of force that follows you about and carries loads for you. The disk is 3 feet in diameter and 1 inch deep at its center. It can hold 100 pounds of weight per caster level. If used to transport a liquid, its capacity is 2 gallons. The disk floats approximately 3 feet above the ground at all times and remains level. It floats along horizontally within spell range and will accompany you at a rate of no more than your normal speed each round. If not otherwise directed, it maintains a constant interval of 5 feet between itself and you. The disk winks out of existence when the spell duration expires. The disk also winks out if you move beyond its range or try to take the disk more than 3 feet away from the surface beneath it. When the disk winks out, whatever it was supporting falls to the surface beneath it.","<p>You create a slightly concave, circular plane of force that follows you about and carries loads for you. The disk is 3 feet in diameter and 1 inch deep at its center. It can hold 100 pounds of weight per caster level. If used to transport a liquid, its capacity is 2 gallons. The disk floats approximately 3 feet above the ground at all times and remains level. It floats along horizontally within spell range and will accompany you at a rate of no more than your normal speed each round. If not otherwise directed, it maintains a constant interval of 5 feet between itself and you.</p><p>The disk winks out of existence when the spell duration expires.</p><p>The disk also winks out if you move beyond its range or try to take the disk more than 3 feet away from the surface beneath it.</p><p>When the disk winks out, whatever it was supporting falls to the surface beneath it.</p>",PFRPG Core,1,1,1,0,0,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,,1,Trade,Creates 3-ft.-diameter horizontal disk that holds 100 lbs./level.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Floating Disk,214,NULL,,,,,0
